lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
float.zero	float.zero					supported	throws	float_t	float.zero	true	divide.rhs.zero	runtime_throw	division_by_zero	Divide rejects a zero right operand.
float.zero	float.nonzero					supported	deterministic_value	float_t	float.zero	true	divide.float_zero.float_nonzero	runtime_success		Deterministic arithmetic dispatch follows the current numeric operator family.
float.nonzero	float.zero					supported	throws	float_t	float.zero	true	divide.rhs.zero	runtime_throw	division_by_zero	Divide rejects a zero right operand.
float.nonzero	float.nonzero					supported	deterministic_value	float_t	float.one	true	divide.float_nonzero.float_nonzero	runtime_success		Deterministic arithmetic dispatch follows the current numeric operator family.
