lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
float.zero	int.zero					supported	deterministic_value	float_t	float.zero	true	subtract.float_zero.int_zero	runtime_success		Deterministic arithmetic dispatch follows the current numeric operator family.
float.zero	int.nonzero					supported	deterministic_value	float_t	float.neg_seven	true	subtract.float_zero.int_nonzero	runtime_success		Deterministic arithmetic dispatch follows the current numeric operator family.
float.nonzero	int.zero					supported	deterministic_value	float_t	float.nonzero	true	subtract.float_nonzero.int_zero	runtime_success		Deterministic arithmetic dispatch follows the current numeric operator family.
float.nonzero	int.nonzero					supported	deterministic_value	float_t	float.neg_3_5	true	subtract.float_nonzero.int_nonzero	runtime_success		Deterministic arithmetic dispatch follows the current numeric operator family.
