lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
nullable.empty	bool.false					supported	deterministic_value	bool_t	bool.false	true	coalesce.nullable<bool_t>.to.bool_t.nullable.empty.rhs.bool.false	runtime_success		Empty nullable falls back to the right profile.
nullable.empty	bool.true					supported	deterministic_value	bool_t	bool.true	true	coalesce.nullable<bool_t>.to.bool_t.nullable.empty.rhs.bool.true	runtime_success		Empty nullable falls back to the right profile.
nullable.present.bool.false	bool.false					supported	deterministic_value	bool_t	bool.false	true	coalesce.nullable<bool_t>.to.bool_t.nullable.present.bool.false.rhs.bool.false	runtime_success		Present nullable unwraps to the contained left profile.
nullable.present.bool.false	bool.true					supported	deterministic_value	bool_t	bool.false	true	coalesce.nullable<bool_t>.to.bool_t.nullable.present.bool.false.rhs.bool.true	runtime_success		Present nullable unwraps to the contained left profile.
nullable.present.bool.true	bool.false					supported	deterministic_value	bool_t	bool.true	true	coalesce.nullable<bool_t>.to.bool_t.nullable.present.bool.true.rhs.bool.false	runtime_success		Present nullable unwraps to the contained left profile.
nullable.present.bool.true	bool.true					supported	deterministic_value	bool_t	bool.true	true	coalesce.nullable<bool_t>.to.bool_t.nullable.present.bool.true.rhs.bool.true	runtime_success		Present nullable unwraps to the contained left profile.
