lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result.failure	nullable.empty					supported	throws			true	coalesce.result(float_t).nullable(float_t).result.failure.rhs.nullable.empty	coalesce_runtime_reject	coalesce_selected_branch_has_no_usable_value_domain	Both sides reduce to fallback-triggering states for this explicit profile combination; coalesce working slice runtime-rejects rows without a usable selected value domain.
result.failure	nullable.present.float.zero					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).nullable(float_t).result.failure.rhs.nullable.present.float.zero	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	nullable.present.float.nonzero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.result(float_t).nullable(float_t).result.failure.rhs.nullable.present.float.nonzero	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.success.float.zero	nullable.empty					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).nullable(float_t).result.success.float.zero.rhs.nullable.empty	coalesce_wrapper		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.float.zero	nullable.present.float.zero					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).nullable(float_t).result.success.float.zero.rhs.nullable.present.float.zero	coalesce_wrapper		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.float.zero	nullable.present.float.nonzero					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).nullable(float_t).result.success.float.zero.rhs.nullable.present.float.nonzero	coalesce_wrapper		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.float.nonzero	nullable.empty					supported	deterministic_value	float_t	float.nonzero	true	coalesce.result(float_t).nullable(float_t).result.success.float.nonzero.rhs.nullable.empty	coalesce_wrapper		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.float.nonzero	nullable.present.float.zero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.result(float_t).nullable(float_t).result.success.float.nonzero.rhs.nullable.present.float.zero	coalesce_wrapper		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.float.nonzero	nullable.present.float.nonzero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.result(float_t).nullable(float_t).result.success.float.nonzero.rhs.nullable.present.float.nonzero	coalesce_wrapper		Approved result wrapper auto-unpacks on success state for coalesce.
