lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result.failure	bool.false					supported	deterministic_value	bool_t	bool.false	true	coalesce.result(bool_t).bool_t.result.failure.rhs.bool.false	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	bool.true					supported	deterministic_value	bool_t	bool.true	true	coalesce.result(bool_t).bool_t.result.failure.rhs.bool.true	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.success.bool.false	bool.false					supported	deterministic_value	bool_t	bool.false	true	coalesce.result(bool_t).bool_t.result.success.bool.false.rhs.bool.false	coalesce_wrapper		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.bool.false	bool.true					supported	deterministic_value	bool_t	bool.false	true	coalesce.result(bool_t).bool_t.result.success.bool.false.rhs.bool.true	coalesce_wrapper		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.bool.true	bool.false					supported	deterministic_value	bool_t	bool.true	true	coalesce.result(bool_t).bool_t.result.success.bool.true.rhs.bool.false	coalesce_wrapper		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.bool.true	bool.true					supported	deterministic_value	bool_t	bool.true	true	coalesce.result(bool_t).bool_t.result.success.bool.true.rhs.bool.true	coalesce_wrapper		Approved result wrapper auto-unpacks on success state for coalesce.
