lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
nullable.empty	nullable.empty					supported	deterministic_value	nullable<int_t>	nullable.empty	true	elvis.nullable<int_t>.nullable.empty.rhs.nullable.empty	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
nullable.empty	nullable.present.int.zero					supported	deterministic_value	nullable<int_t>	nullable.present.int.zero	true	elvis.nullable<int_t>.nullable.empty.rhs.nullable.present.int.zero	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
nullable.empty	nullable.present.int.nonzero					supported	deterministic_value	nullable<int_t>	nullable.present.int.nonzero	true	elvis.nullable<int_t>.nullable.empty.rhs.nullable.present.int.nonzero	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
nullable.present.int.zero	nullable.empty					supported	deterministic_value	nullable<int_t>	nullable.empty	true	elvis.nullable<int_t>.nullable.present.int.zero.rhs.nullable.empty	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
nullable.present.int.zero	nullable.present.int.zero					supported	deterministic_value	nullable<int_t>	nullable.present.int.zero	true	elvis.nullable<int_t>.nullable.present.int.zero.rhs.nullable.present.int.zero	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
nullable.present.int.zero	nullable.present.int.nonzero					supported	deterministic_value	nullable<int_t>	nullable.present.int.nonzero	true	elvis.nullable<int_t>.nullable.present.int.zero.rhs.nullable.present.int.nonzero	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
nullable.present.int.nonzero	nullable.empty					supported	deterministic_value	nullable<int_t>	nullable.present.int.nonzero	true	elvis.nullable<int_t>.nullable.present.int.nonzero.rhs.nullable.empty	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
nullable.present.int.nonzero	nullable.present.int.zero					supported	deterministic_value	nullable<int_t>	nullable.present.int.nonzero	true	elvis.nullable<int_t>.nullable.present.int.nonzero.rhs.nullable.present.int.zero	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
nullable.present.int.nonzero	nullable.present.int.nonzero					supported	deterministic_value	nullable<int_t>	nullable.present.int.nonzero	true	elvis.nullable<int_t>.nullable.present.int.nonzero.rhs.nullable.present.int.nonzero	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
