lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
float.zero	result.failure					supported	deterministic_value	float_t	float.zero	true	coalesce.float_t.result(float_t).float.zero.rhs.result.failure	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
float.zero	result.success.float.zero					supported	deterministic_value	float_t	float.zero	true	coalesce.float_t.result(float_t).float.zero.rhs.result.success.float.zero	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
float.zero	result.success.float.nonzero					supported	deterministic_value	float_t	float.zero	true	coalesce.float_t.result(float_t).float.zero.rhs.result.success.float.nonzero	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
float.nonzero	result.failure					supported	deterministic_value	float_t	float.nonzero	true	coalesce.float_t.result(float_t).float.nonzero.rhs.result.failure	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
float.nonzero	result.success.float.zero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.float_t.result(float_t).float.nonzero.rhs.result.success.float.zero	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
float.nonzero	result.success.float.nonzero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.float_t.result(float_t).float.nonzero.rhs.result.success.float.nonzero	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
