lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result.failure	result.failure					compile_time_rejected				true	elvis.result<float_t>.result.failure.rhs.result.failure	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.failure	result.success.float.zero					compile_time_rejected				true	elvis.result<float_t>.result.failure.rhs.result.success.float.zero	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.failure	result.success.float.nonzero					compile_time_rejected				true	elvis.result<float_t>.result.failure.rhs.result.success.float.nonzero	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.success.float.zero	result.failure					compile_time_rejected				true	elvis.result<float_t>.result.success.float.zero.rhs.result.failure	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.success.float.zero	result.success.float.zero					compile_time_rejected				true	elvis.result<float_t>.result.success.float.zero.rhs.result.success.float.zero	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.success.float.zero	result.success.float.nonzero					compile_time_rejected				true	elvis.result<float_t>.result.success.float.zero.rhs.result.success.float.nonzero	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.success.float.nonzero	result.failure					compile_time_rejected				true	elvis.result<float_t>.result.success.float.nonzero.rhs.result.failure	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.success.float.nonzero	result.success.float.zero					compile_time_rejected				true	elvis.result<float_t>.result.success.float.nonzero.rhs.result.success.float.zero	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.success.float.nonzero	result.success.float.nonzero					compile_time_rejected				true	elvis.result<float_t>.result.success.float.nonzero.rhs.result.success.float.nonzero	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
