lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
float.zero	nullable.empty					supported	deterministic_value	float_t	float.zero	true	coalesce.float_t.nullable(float_t).float.zero.rhs.nullable.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
float.zero	nullable.present.float.zero					supported	deterministic_value	float_t	float.zero	true	coalesce.float_t.nullable(float_t).float.zero.rhs.nullable.present.float.zero	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
float.zero	nullable.present.float.nonzero					supported	deterministic_value	float_t	float.zero	true	coalesce.float_t.nullable(float_t).float.zero.rhs.nullable.present.float.nonzero	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
float.nonzero	nullable.empty					supported	deterministic_value	float_t	float.nonzero	true	coalesce.float_t.nullable(float_t).float.nonzero.rhs.nullable.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
float.nonzero	nullable.present.float.zero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.float_t.nullable(float_t).float.nonzero.rhs.nullable.present.float.zero	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
float.nonzero	nullable.present.float.nonzero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.float_t.nullable(float_t).float.nonzero.rhs.nullable.present.float.nonzero	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
