"lhs_profile"	"rhs_profile"	"third_profile"	"lhs_target_kind"	"rhs_target_kind"	"third_target_kind"	"status"	"behavior_class"	"result_type"	"result_profile"	"edge_case"	"edge_case_id"	"test_seed_class"	"diagnostic_class"	"notes"
"result_or_false.sentinel.false"	"result_or_false.sentinel.false"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects false-sentinel wrapper states."
"result_or_false.sentinel.false"	"result_or_false.success.int.zero"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects false-sentinel wrapper states."
"result_or_false.sentinel.false"	"result_or_false.success.int.nonzero"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects false-sentinel wrapper states."
"result_or_false.success.int.zero"	"result_or_false.sentinel.false"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects false-sentinel wrapper states."
"result_or_false.success.int.zero"	"result_or_false.success.int.zero"	""	""	""	""	"supported"	"deterministic_value"	"int_t"	"int.zero"	"true"	"bitwise_xor.int_zero.int_zero"	"runtime_success"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects false-sentinel wrapper states."
"result_or_false.success.int.zero"	"result_or_false.success.int.nonzero"	""	""	""	""	"supported"	"deterministic_value"	"int_t"	"int.nonzero"	"true"	"bitwise_xor.int_zero.int_nonzero"	"runtime_success"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects false-sentinel wrapper states."
"result_or_false.success.int.nonzero"	"result_or_false.sentinel.false"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects false-sentinel wrapper states."
"result_or_false.success.int.nonzero"	"result_or_false.success.int.zero"	""	""	""	""	"supported"	"deterministic_value"	"int_t"	"int.nonzero"	"true"	"bitwise_xor.int_nonzero.int_zero"	"runtime_success"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects false-sentinel wrapper states."
"result_or_false.success.int.nonzero"	"result_or_false.success.int.nonzero"	""	""	""	""	"supported"	"deterministic_value"	"int_t"	"int.zero"	"true"	"bitwise_xor.int_nonzero.int_nonzero"	"runtime_success"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects false-sentinel wrapper states."
