lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
nullable.empty	nullable.empty					supported	deterministic_value	bool_t	bool.true	true	identical.nullable_empty.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.empty	nullable.present.int.zero					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_empty.nullable_present_int_zero	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.empty	nullable.present.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_empty.nullable_present_int_nonzero	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.int.zero	nullable.empty					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_present_int_zero.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.int.zero	nullable.present.int.zero					supported	deterministic_value	bool_t	bool.true	true	identical.nullable_present_int_zero.nullable_present_int_zero	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.int.zero	nullable.present.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_present_int_zero.nullable_present_int_nonzero	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.int.nonzero	nullable.empty					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_present_int_nonzero.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.int.nonzero	nullable.present.int.zero					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_present_int_nonzero.nullable_present_int_zero	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.int.nonzero	nullable.present.int.nonzero					supported	deterministic_value	bool_t	bool.true	true	identical.nullable_present_int_nonzero.nullable_present_int_nonzero	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
