lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
nullable.empty	nullable.empty					supported	deterministic_value	bool_t	bool.true	true	identical.nullable_empty.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.empty	nullable.present.bool.false					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_empty.nullable_present_bool_false	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.empty	nullable.present.bool.true					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_empty.nullable_present_bool_true	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.bool.false	nullable.empty					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_present_bool_false.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.bool.false	nullable.present.bool.false					supported	deterministic_value	bool_t	bool.true	true	identical.nullable_present_bool_false.nullable_present_bool_false	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.bool.false	nullable.present.bool.true					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_present_bool_false.nullable_present_bool_true	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.bool.true	nullable.empty					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_present_bool_true.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.bool.true	nullable.present.bool.false					supported	deterministic_value	bool_t	bool.false	true	identical.nullable_present_bool_true.nullable_present_bool_false	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.bool.true	nullable.present.bool.true					supported	deterministic_value	bool_t	bool.true	true	identical.nullable_present_bool_true.nullable_present_bool_true	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
