lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
bool.false	bool.false					supported	deterministic_value	bool_t	bool.true	true	identical.bool_false.bool_false	runtime_success		Strict identity requires exact matching PHP-visible value and type.
bool.false	bool.true					supported	deterministic_value	bool_t	bool.false	true	identical.bool_false.bool_true	runtime_success		Strict identity requires exact matching PHP-visible value and type.
bool.true	bool.false					supported	deterministic_value	bool_t	bool.false	true	identical.bool_true.bool_false	runtime_success		Strict identity requires exact matching PHP-visible value and type.
bool.true	bool.true					supported	deterministic_value	bool_t	bool.true	true	identical.bool_true.bool_true	runtime_success		Strict identity requires exact matching PHP-visible value and type.
