lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_false.sentinel.false	result_or_false.sentinel.false					supported	deterministic_value	bool_t	bool.false	true	not_equal.result_or_false_sentinel_false.result_or_false_sentinel_false	runtime_success		result_or_false equality normalizes the false sentinel distinctly from wrapped payload values.
result_or_false.sentinel.false	result_or_false.success.int.zero					supported	deterministic_value	bool_t	bool.true	true	not_equal.result_or_false_sentinel_false.result_or_false_success_int_zero	runtime_success		result_or_false equality normalizes the false sentinel distinctly from wrapped payload values.
result_or_false.sentinel.false	result_or_false.success.int.nonzero					supported	deterministic_value	bool_t	bool.true	true	not_equal.result_or_false_sentinel_false.result_or_false_success_int_nonzero	runtime_success		result_or_false equality normalizes the false sentinel distinctly from wrapped payload values.
result_or_false.success.int.zero	result_or_false.sentinel.false					supported	deterministic_value	bool_t	bool.true	true	not_equal.result_or_false_success_int_zero.result_or_false_sentinel_false	runtime_success		result_or_false equality normalizes the false sentinel distinctly from wrapped payload values.
result_or_false.success.int.zero	result_or_false.success.int.zero					supported	deterministic_value	bool_t	bool.false	true	not_equal.result_or_false_success_int_zero.result_or_false_success_int_zero	runtime_success		result_or_false equality normalizes the false sentinel distinctly from wrapped payload values.
result_or_false.success.int.zero	result_or_false.success.int.nonzero					supported	deterministic_value	bool_t	bool.true	true	not_equal.result_or_false_success_int_zero.result_or_false_success_int_nonzero	runtime_success		result_or_false equality normalizes the false sentinel distinctly from wrapped payload values.
result_or_false.success.int.nonzero	result_or_false.sentinel.false					supported	deterministic_value	bool_t	bool.true	true	not_equal.result_or_false_success_int_nonzero.result_or_false_sentinel_false	runtime_success		result_or_false equality normalizes the false sentinel distinctly from wrapped payload values.
result_or_false.success.int.nonzero	result_or_false.success.int.zero					supported	deterministic_value	bool_t	bool.true	true	not_equal.result_or_false_success_int_nonzero.result_or_false_success_int_zero	runtime_success		result_or_false equality normalizes the false sentinel distinctly from wrapped payload values.
result_or_false.success.int.nonzero	result_or_false.success.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	not_equal.result_or_false_success_int_nonzero.result_or_false_success_int_nonzero	runtime_success		result_or_false equality normalizes the false sentinel distinctly from wrapped payload values.
