lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
float.zero	int.zero					supported	deterministic_value	bool_t	bool.false	true	logical_or.float_zero.int_zero	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
float.zero	int.nonzero					supported	deterministic_value	bool_t	bool.true	true	logical_or.float_zero.int_nonzero	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
float.nonzero	int.zero					supported	deterministic_value	bool_t	bool.true	true	logical_or.float_nonzero.int_zero	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
float.nonzero	int.nonzero					supported	deterministic_value	bool_t	bool.true	true	logical_or.float_nonzero.int_nonzero	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
